service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
19T2#5,0,0,0,0,0,1,0,20180219,20180731
19T3#4,0,0,0,0,0,0,1,20180219,20180731
19T0+05#1,1,1,1,1,1,0,0,20180219,20180731
19T0+03#1,1,1,1,1,1,0,0,20180219,20180731
19T0+lo,0,1,1,0,0,0,0,20180101,20180731
19T0+07,0,0,0,0,1,0,0,20180101,20180731
19T0+06,0,0,0,0,1,0,0,20180101,20180731
19T0+98,0,0,0,0,1,0,0,20180101,20180731
19T0+36,1,1,1,1,1,0,0,20180101,20180731
19T0+09,0,0,0,0,1,0,0,20180101,20180731
19T0+03#2,1,1,1,1,1,0,0,20180101,20180121
19T0#9,1,1,1,1,1,0,0,20180101,20180121
19T0+05#2,0,1,1,1,1,0,0,20180101,20180121
19T0+03#3,1,1,1,1,1,0,0,20180122,20180731
19T0#10,1,1,1,1,1,0,0,20180122,20180731
19T0+05#3,1,1,1,1,1,0,0,20180122,20180731
19T0#11,1,1,1,1,1,0,0,20180101,20180408
19T2#6,0,0,0,0,0,1,0,20180101,20180408
19T3#5,1,0,0,0,1,1,1,20180101,20180408
19T0+03#4,1,1,1,1,1,0,0,20180101,20180408
19T0+06#1,0,0,0,0,1,0,0,20180101,20180408
19T0+65,1,1,1,1,0,0,0,20180101,20180408
19T0+08,1,1,1,1,1,0,0,20180101,20180408
19T0+18#1,1,1,1,1,0,0,0,20180101,20180408
19T0+03#5,1,1,1,1,1,0,0,20180108,20180731
19T0+40,0,0,0,1,0,0,0,20180101,20180731
19T0#12,1,1,1,1,1,0,0,20180101,20180731
19T3#6,0,0,0,0,0,0,1,20180101,20180731
19T2#7,0,0,0,0,0,1,0,20180101,20180731
19T0+62#1,1,1,1,1,1,0,0,20180101,20180121
19T0+38#5,0,1,1,1,1,0,0,20180101,20180121
19T0+37#4,1,1,1,1,1,0,0,20180101,20180121
19T2+ed,0,0,0,0,0,1,0,20180101,20180121
19T0+37#5,1,1,1,1,1,0,0,20180122,20180731
19T0+62#2,1,1,1,1,1,0,0,20180122,20180731
19T0+38#6,1,1,1,1,1,0,0,20180122,20180731
19T2+ed#1,0,0,0,0,0,1,0,20180122,20180731
19TA+fs,0,0,0,0,1,1,0,20180101,20180731
19T0+b3,0,0,0,0,1,0,0,20180101,20180731
19T4#1,1,0,0,0,0,1,1,20180101,20180107
19T4#2,0,0,0,0,0,1,1,20180108,20180731
19T0+56#1,0,0,0,0,1,0,0,20180101,20180131
19T0+37#6,1,1,1,1,1,0,0,20180101,20180131
19T0#13,1,1,1,1,1,0,0,20180101,20180131
19T0+38#7,0,1,1,1,1,0,0,20180101,20180131
19T0+37#7,1,1,1,1,1,0,0,20180201,20180731
19T0#14,1,1,1,1,1,0,0,20180201,20180731
19T0+38#8,1,1,1,1,1,0,0,20180201,20180731
