route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-570-s18-1,1,570,Erding -Stadtmitte - Altenerding - Therme-Erding - Altenerding - Stadtmitte - Erding,701,,008351,FFFFFF
19-580-s18-1,1,580,"Therme Erding - Altenerding - Klinikum Süd - Stadtmitte - Erding - Eichenkofen, Ort",701,,008351,FFFFFF
19-601-s18-1,1,601,Freising - Kirchdorf - Paunzhausen - Schweitenkirchen/Aufham,701,,008351,FFFFFF
19-602-s18-1,1,602,Freising - Attenkirchen - Au - Rudelzhausen - Mainburg,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-603-s18-1,1,603,Freising - Zolling - Nandlstadt - Rudelzhausen - Mainburg,701,,008351,FFFFFF
19-614-s18-1,1,614,Freising - Massenhausen/Hetzenhausen - Deutenhausen/Haimhausen,701,,008351,FFFFFF
19-615-s18-1,1,615,Freising - Sickenhausen - Viehbach/Höchenberg,701,,008351,FFFFFF
19-616-s18-1,1,616,Hohenkammer - Allershausen - Kranzberg - Freising,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-617-s18-1,1,617,Freising - Wolfersdorf - Oberhaindlfing - Berg,701,,008351,FFFFFF
19-618-s18-1,1,618,Freising - Jägersdorf - Gütlsdorf - Sünzhausen,701,,008351,FFFFFF
19-619-s18-1,1,619,Petershausen - Hohenkammer - Allershausen Schönbichl/Eberspoint - Freising,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-620-s18-2,1,620,Freising - Obere Hauptstraße - Waldfriedhof - Neustift - Freising,701,,008351,FFFFFF
19-621-s18-2,1,621,Freising -  Heiliggeistgasse - Neustift - Waldfriedhof - Obere Hauptstraße - Freising,701,,008351,FFFFFF
19-622-s18-2,1,622,"Freising - Haggertystraße - Freising, P+R-Platz - Haggertystraße - Altstadt - Freising",701,,008351,FFFFFF
19-623-s18-1,1,623,P+R-Platz - Gute Änger - Jagdstraße - P+R-Platz,701,,008351,FFFFFF
19-624-s18-1,1,624,"Freising, P+R-Platz - Haggertystraße - Freising, P+R-Platz - Kirche St. Lantpert - Haggertystraße - Freising, P+R-Platz",701,,008351,FFFFFF
19-630-s18-2,1,630,Freising -  Prinz-Ludwig-Str. - Kleine Wies - Seniorenzentrum - Freising,701,,008351,FFFFFF
19-631-s18-2,1,631,Freising -  Seniorenzentrum - Kleine Wies - Prinz-Ludwig-Straße - Freising,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-633-s18-2,1,633,"Marzling - Freising - Freising, Gutenbergstraße",701,,008351,FFFFFF
19-634-s18-1,1,634,Attaching - Rabenweg - P+R-Platz,701,,008351,FFFFFF
19-637-s18-3,1,637,Freising - Dürnast - Hohenbachern und zurück,701,,008351,FFFFFF
19-638-s18-2,1,638,Fraunhofer-Institut - Weihenstephan - Freising,701,,008351,FFFFFF
19-639-s18-2,1,639,Freising - Weihenstephan - Lange Point - Freising,701,,008351,FFFFFF
19-640-s18-2,1,640,Freising -  Weihenstephan - Waldfriedhof - Neustift - Altstadt Freising - Haggertystraße - Altstadt - Freising,701,,008351,FFFFFF
19-641-s18-2,1,641,Freising -  Weihenstephan - Waldfriedhof - Neustift - Altstadt - Freising - Haggertystraße - Altstadt - Freising,701,,008351,FFFFFF
19-680-s18-1,1,680,Moosburg - Thann,701,,008351,FFFFFF
19-681-s18-1,1,681,"Moosburg - Attenkirchen - Au, Hopfenhalle",701,,008351,FFFFFF
