service_id,date,exception_type
19T0+04,20180228,2
19T0+04,20180301,2
19T0+04,20180305,2
19T0+04,20180306,2
19T0+04,20180307,2
19T0+04,20180308,2
19T0+04,20180312,2
19T0+04,20180313,2
19T0+04,20180314,2
19T0+04,20180315,2
19T0+04,20180319,2
19T0+04,20180320,2
19T0+04,20180321,2
19T0+04,20180322,2
19T0+04,20180402,2
19T0+04,20180409,2
19T0+04,20180410,2
19T0+04,20180411,2
19T0+04,20180412,2
19T0+04,20180416,2
19T0+04,20180417,2
19T0+04,20180418,2
19T0+04,20180419,2
19T0+04,20180423,2
19T0+04,20180424,2
19T0+04,20180425,2
19T0+04,20180426,2
19T0+04,20180430,2
19T0+04,20180501,2
19T0+04,20180502,2
19T0+04,20180503,2
19T0+04,20180507,2
19T0+04,20180508,2
19T0+04,20180509,2
19T0+04,20180510,2
19T0+04,20180514,2
19T0+04,20180515,2
19T0+04,20180516,2
19T0+04,20180517,2
19T0+04,20180521,2
19T0+04,20180531,2
19T0+04,20180604,2
19T0+04,20180605,2
19T0+04,20180606,2
19T0+04,20180607,2
19T0+04,20180611,2
19T0+04,20180612,2
19T0+04,20180613,2
19T0+04,20180614,2
19T0+04,20180618,2
19T0+04,20180619,2
19T0+04,20180620,2
19T0+04,20180621,2
19T0+04,20180625,2
19T0+04,20180626,2
19T0+04,20180627,2
19T0+04,20180628,2
19T0+04,20180702,2
19T0+04,20180703,2
19T0+04,20180704,2
19T0+04,20180705,2
19T0+04,20180709,2
19T0+04,20180710,2
19T0+04,20180711,2
19T0+04,20180712,2
19T0+04,20180716,2
19T0+04,20180717,2
19T0+04,20180718,2
19T0+04,20180719,2
19T0+04,20180723,2
19T0+04,20180724,2
19T0+04,20180725,2
19T0+04,20180726,2
19T0+05,20180101,2
19T0+05,20180108,2
19T0+05,20180109,2
19T0+05,20180110,2
19T0+05,20180111,2
19T0+05,20180112,2
19T0+05,20180115,2
19T0+05,20180116,2
19T0+05,20180117,2
19T0+05,20180118,2
19T0+05,20180119,2
19T0+05,20180122,2
19T0+05,20180123,2
19T0+05,20180124,2
19T0+05,20180125,2
19T0+05,20180126,2
19T0+05,20180129,2
19T0+05,20180130,2
19T0+05,20180131,2
19T0+05,20180201,2
19T0+05,20180202,2
19T0+05,20180205,2
19T0+05,20180206,2
19T0+05,20180207,2
19T0+05,20180208,2
19T0+05,20180209,2
19T0+05,20180219,2
19T0+05,20180220,2
19T0+05,20180221,2
19T0+05,20180222,2
19T0+05,20180223,2
19T0+05,20180226,2
19T0+05,20180227,2
19T0+05,20180228,2
19T0+05,20180301,2
19T0+05,20180302,2
19T0+05,20180305,2
19T0+05,20180306,2
19T0+05,20180307,2
19T0+05,20180308,2
19T0+05,20180309,2
19T0+05,20180312,2
19T0+05,20180313,2
19T0+05,20180314,2
19T0+05,20180315,2
19T0+05,20180316,2
19T0+05,20180319,2
19T0+05,20180320,2
19T0+05,20180321,2
19T0+05,20180322,2
19T0+05,20180323,2
19T0+05,20180330,2
19T0+05,20180402,2
19T0+05,20180409,2
19T0+05,20180410,2
19T0+05,20180411,2
19T0+05,20180412,2
19T0+05,20180413,2
19T0+05,20180416,2
19T0+05,20180417,2
19T0+05,20180418,2
19T0+05,20180419,2
19T0+05,20180420,2
19T0+05,20180423,2
19T0+05,20180424,2
19T0+05,20180425,2
19T0+05,20180426,2
19T0+05,20180427,2
19T0+05,20180430,2
19T0+05,20180501,2
19T0+05,20180502,2
19T0+05,20180503,2
19T0+05,20180504,2
19T0+05,20180507,2
19T0+05,20180508,2
19T0+05,20180509,2
19T0+05,20180510,2
19T0+05,20180511,2
19T0+05,20180514,2
19T0+05,20180515,2
19T0+05,20180516,2
19T0+05,20180517,2
19T0+05,20180518,2
19T0+05,20180521,2
19T0+05,20180531,2
19T0+05,20180604,2
19T0+05,20180605,2
19T0+05,20180606,2
19T0+05,20180607,2
19T0+05,20180608,2
19T0+05,20180611,2
19T0+05,20180612,2
19T0+05,20180613,2
19T0+05,20180614,2
19T0+05,20180615,2
19T0+05,20180618,2
19T0+05,20180619,2
19T0+05,20180620,2
19T0+05,20180621,2
19T0+05,20180622,2
19T0+05,20180625,2
19T0+05,20180626,2
19T0+05,20180627,2
19T0+05,20180628,2
19T0+05,20180629,2
19T0+05,20180702,2
19T0+05,20180703,2
19T0+05,20180704,2
19T0+05,20180705,2
19T0+05,20180706,2
19T0+05,20180709,2
19T0+05,20180710,2
19T0+05,20180711,2
19T0+05,20180712,2
19T0+05,20180713,2
